lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta.1,theta.2,theta.3,theta.4,theta.5,theta.6,theta.7,theta.8,theta.9,theta.10,theta0,log_sig_sq
-414157.1282483477,0.9987079258065844,0.23061315334997615,4.0,15.0,0.0,414165.7994035602,-1.1683072079817627,3.5099607324223663,0.6134740388130296,-6.771928820605505,3.942806451303652,1.5566833242963134,4.466785023392544,2.9128305000637815,-1.144798837926564,-0.35133267839590887,10.069800927494438,7.392407592314548
-414158.9807929635,0.9003283865178199,0.23061315334997615,4.0,15.0,0.0,414162.7292127165,-0.7903948685129346,3.794565376049067,0.44401258333864096,-6.611639167513844,3.662411314233462,1.4580319054804756,4.5043040856860275,2.988012794843266,-1.63996906184336,-0.15075406361831797,9.806758210111147,7.391837964457009
-414163.805252897,0.9436506059024796,0.23061315334997615,4.0,15.0,0.0,414168.09771212377,-0.9429195214858147,3.7590566096922085,0.2490807385697732,-6.185682876998773,3.7744450835651633,1.307377172483319,3.883636948527389,2.840524761325649,-1.6080502487234178,-0.24635680613376362,9.858056325398435,7.39578722684597
-414162.5413772644,0.9298757591064404,0.23061315334997615,4.0,15.0,0.0,414173.8971033948,-0.7704413591394476,3.739628650622713,0.37390375439897194,-6.342790325107622,3.6569812652728024,1.3784740234772954,4.478909193627086,2.8789264658553013,-1.5748124093378333,-0.36982936875090827,9.748879554686186,7.399771360739007
-414157.77254398906,0.9982078168179324,0.23061315334997615,4.0,15.0,0.0,414167.87707356043,-0.8694369726662318,3.802561480164624,0.4438260271179404,-6.626712488514241,3.769038872943146,1.4059487246205262,4.448248829529088,2.9596885349514404,-1.4840213489257557,-0.3408638241379292,9.718858895012428,7.397046381906309
-414156.31777162093,0.9664683211913215,0.23061315334997615,4.0,15.0,0.0,414160.91198044876,-1.0890160625202467,3.673340460556483,0.710684758564123,-6.6472123192346695,3.9426385131754595,1.644290557009758,4.218911476437948,2.750075919688769,-1.3178502158729297,-0.2119545792838879,10.001113719648869,7.386332987567838
-414159.47015661077,0.9924855453738647,0.23061315334997615,4.0,15.0,0.0,414164.2478720117,-1.247348966205419,3.5702875460186103,0.28064123246454376,-6.819061059903775,3.7516838869714006,1.5959502933528145,4.864660734458063,3.0512978202873664,-1.409279276412368,-0.22686170213172588,9.997437430625162,7.396318090789639
-414157.63782625756,0.9866151889083464,0.23061315334997615,3.0,7.0,0.0,414160.759774507,-1.207477555475004,3.589432430206251,0.3372939893666085,-6.905913571133242,3.847223578422428,1.5759433229718867,4.796104100755748,3.082272191290945,-1.3869769870181616,-0.19857175200211846,10.000817136669019,7.39624140555275
-414161.19929556747,0.9860724916093246,0.23061315334997615,4.0,15.0,0.0,414164.9790351948,-0.7927478066377387,3.738413673362839,0.8413220586150669,-6.836070497238115,4.1670155060610234,1.7803369215689848,4.22866713607389,2.6401034563474552,-1.3189922430635874,-0.30324500433795964,10.048469489150675,7.386705381101109
-414155.7208861758,1.0,0.23061315334997615,4.0,15.0,0.0,414164.0209884447,-0.8334373153838369,3.7432258977790895,0.7232756589834206,-6.587596716851209,3.858627070508692,1.5842324961728798,4.4041284201210615,2.759905245341572,-1.4597516249794897,-0.2847215724950593,10.094574136259986,7.391584819423226
-414157.2012936675,0.917400370144032,0.23061315334997615,4.0,15.0,0.0,414170.44016452285,-1.1461121123771598,3.6196490356725333,0.4737512336039724,-6.577356339631108,3.969260998759842,1.6396640362640083,4.1609400552845175,3.0926654733227057,-1.6548030914045437,-0.39242392160904105,10.111501161022959,7.392216822595194
